CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2003-01-01 00:00,61.6,4,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2003-02-01 00:00,45.5,4,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2003-03-01 00:00,113.3,50,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2003-04-01 00:00,79.7,50,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2003-05-01 00:00,56.4,50,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2003-06-01 00:00,50.2,50,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2003-07-01 00:00,66.9,50,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2003-08-01 00:00,55.9,50,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2003-09-01 00:00,56.7,50,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2003-10-01 00:00,119.5,50,,900
21205850,COLOMBIANO EL [21205850],5.0338888890,-73.84819444,2567,Meteorológica Especial,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 11 - Cundinamarca-Amazonas-San Andrés,Cundinamarca,Sesquilé,15/09/1976 00:00,03/05/2019 14:59,PRECIPITACION,PTPM_TT_M,Precipitación total mensual,Mensual,2003-11-01 00:00,78,50,,900
